geneID	DGRP.177	SP.159N
FBgn0016694	14259	12779
FBgn0016696	1289	1253
FBgn0016697	1008	1051
FBgn0016698	396	420
FBgn0016701	757	827
FBgn0016754	1058	1130
FBgn0016756	2549	2524
FBgn0016762	86	86
FBgn0016794	648	612
FBgn0016797	1445	1456
FBgn0016917	3713	4275
FBgn0016926	5350	4835
FBgn0016930	2048	2066
FBgn0016970	67	30
FBgn0016977	1586	1610
FBgn0016978	449	447
FBgn0016983	1136	1112
FBgn0016984	872	950
FBgn0017414	223	217
FBgn0017418	1446	1552
FBgn0017429	779	891
FBgn0017430	334	316
FBgn0017457	168	185
FBgn0017550	166	132
FBgn0017551	249	249
FBgn0017558	5534	3378
FBgn0017561	269	398
FBgn0017566	11361	10118
FBgn0017578	549	602
FBgn0017579	20411	21863
FBgn0017581	46799	48500
FBgn0019624	5170	4959
FBgn0019643	836	853
FBgn0019644	10113	10615
FBgn0019662	1078	1185
FBgn0019686	53	46
FBgn0019830	4378	4232
FBgn0019890	2651	2898
FBgn0019932	900	721
FBgn0019936	18751	18073
FBgn0019938	287	328
FBgn0019949	233	176
FBgn0019957	4118	3871
FBgn0019960	4784	4700
FBgn0019968	3241	3387
FBgn0019972	587	561
FBgn0019982	5515	5194
FBgn0019990	504	511
FBgn0020018	341	304
FBgn0020224	1112	1100
FBgn0020235	3576	3694
FBgn0020236	27565	28004
FBgn0020238	2808	2583
FBgn0020248	25	16
FBgn0020251	1338	1175
FBgn0020255	668	658
FBgn0020261	425	397
FBgn0020270	138	132
FBgn0020272	187	129
FBgn0020279	698	611
FBgn0020304	3522	3349
FBgn0020305	163	192
FBgn0020306	1389	1374
FBgn0020309	2165	2268
FBgn0020312	713	649
FBgn0020369	268	298
FBgn0020370	1214	1264
FBgn0020381	217	160
FBgn0020385	42988	43988
FBgn0020386	1957	1959
FBgn0020388	539	668
FBgn0020389	222	190
FBgn0020392	545	620
FBgn0020407	200	192
FBgn0020412	1241	1318
FBgn0020414	3721	2669
FBgn0020415	12249	7793
FBgn0020440	1195	1411
FBgn0020443	1700	1511
FBgn0020445	204	165
FBgn0020496	2084	2111
FBgn0020497	1194	1047
FBgn0020503	6077	5960
FBgn0020510	729	732
FBgn0020513	68287	71106
FBgn0020545	798	989
FBgn0020616	666	673
FBgn0020618	24249	23076
FBgn0020620	475	459
FBgn0020621	3200	3118
FBgn0020622	496	682
FBgn0020626	973	970
FBgn0020647	2259	2210
FBgn0020653	4698	5112
FBgn0020655	668	718
FBgn0020762	2275	2041
FBgn0020764	2672	2458
FBgn0020767	2647	2928
FBgn0020887	236	201
FBgn0020909	209	172
FBgn0020910	49897	45639
FBgn0020930	1647	1754
FBgn0021761	399	398
FBgn0021764	766	630
FBgn0021765	3462	2870
FBgn0021768	343	286
FBgn0021795	1793	1162
FBgn0021800	1123	1097
FBgn0021814	286	253
FBgn0021825	639	528
FBgn0021847	473	517
FBgn0021856	186	159
FBgn0021872	4910	5259
FBgn0021874	208	204
FBgn0021875	196	171
FBgn0021895	809	960
FBgn0021906	7581	8335
FBgn0021944	150	155
FBgn0021967	3554	3230
FBgn0021979	8961	8397
FBgn0021995	173	176
FBgn0022023	3409	3150
FBgn0022027	241	296
FBgn0022029	675	672
FBgn0022069	311	245
FBgn0022097	1203	956
FBgn0022153	921	1051
FBgn0022160	5103	4145
FBgn0022213	356	337
FBgn0022238	1407	1537
FBgn0022288	107	137
FBgn0022338	120	104
FBgn0022343	178	197
FBgn0022344	852	704
FBgn0022349	642	671
FBgn0022355	173757	107406
FBgn0022359	31	63
FBgn0022382	3057	3232
FBgn0022699	196	183
FBgn0022702	63	60
FBgn0022709	1684	1834
FBgn0022724	67	72
FBgn0022764	2442	2478
FBgn0022768	179	180
FBgn0022774	1655	1702
FBgn0022786	56	65
FBgn0022893	659	666
FBgn0022935	313	301
FBgn0022942	305	343
FBgn0022959	7812	7170
FBgn0022960	113	151
FBgn0022984	903	942
FBgn0022985	529	451
FBgn0022986	614	553
FBgn0022987	677	652
FBgn0023000	284	371
FBgn0023081	1224	1254
FBgn0023083	1115	1174
FBgn0023094	132	99
FBgn0023095	1289	1206
FBgn0023097	696	715
FBgn0023130	156	144
FBgn0023143	1129	1093
FBgn0023169	1466	1348
FBgn0023170	27735	20299
FBgn0023171	107	116
FBgn0023172	1746	1663
FBgn0023174	1032	924
FBgn0023175	507	513
FBgn0023177	153	171
FBgn0023181	34	28
FBgn0023212	2416	2597
FBgn0023213	1134	1082
FBgn0023215	1067	1045
FBgn0023216	287	291
FBgn0023388	839	1013
FBgn0023407	1577	1409
FBgn0023441	1683	1564
FBgn0023458	3654	3855
FBgn0023477	25599	24332
FBgn0023506	338	333
FBgn0023508	617	648
FBgn0023509	363	321
FBgn0023510	1276	1133
FBgn0023511	1154	1322
FBgn0023512	649	814
FBgn0023513	47	53
FBgn0023514	460	435
FBgn0023516	914	870
FBgn0023517	123	148
FBgn0023520	32	24
FBgn0023521	90	151
FBgn0023522	162	207
FBgn0023525	478	476
FBgn0023526	707	654
FBgn0023527	147	163
FBgn0023528	146	126
FBgn0023530	328	358
FBgn0023537	2735	2483
FBgn0023540	499	471
FBgn0023542	278	248
FBgn0023545	135	156
FBgn0023549	960	983
FBgn0024183	3231	2934
FBgn0024187	1803	1769
FBgn0024188	323	401
FBgn0024191	117	113
FBgn0024194	100	81
FBgn0024196	867	855
FBgn0024222	102	123
FBgn0024230	426	431
FBgn0024234	748	591
FBgn0024236	1305	1417
FBgn0024238	1782	1791
FBgn0024245	241	302
FBgn0024273	253	295
FBgn0024277	2480	2431
FBgn0024285	1634	1159
FBgn0024289	7237	6971
FBgn0024291	389	368
FBgn0024293	11788	10846
FBgn0024314	635	574
FBgn0024315	3448	3205
FBgn0024320	4181	4721
FBgn0024326	691	662
FBgn0024329	1705	1703
FBgn0024352	437	397
FBgn0024360	36	63
FBgn0024362	603	599
FBgn0024364	48	45
FBgn0024365	428	383
FBgn0024371	144	130
FBgn0024432	749	740
FBgn0024491	160	143
FBgn0024509	1356	1391
FBgn0024510	108	147
FBgn0024542	77	51
FBgn0024555	1150	981
FBgn0024556	1505	1376
FBgn0024558	197	207
FBgn0024689	321	279
FBgn0024732	466	610
